Time,Pitch (rad),Pitch Rate (rad/s),Velocity (m/s),Desired Velocity,Yaw (°)
0.001,5.156620156177409,0.0,-0.8431,0,0.0
0.002,5.0625430425849425,-0.3940692919106903,0.13004840981843624,0,-3.742884119481571e-07
0.003,5.080595202117788,0.07561670902642231,-0.024952263472891468,0,-2.552879023028866e-07
0.004,5.076796448528102,-0.015912181826875343,0.005259116212988314,0,-1.9082077341283744e-07
0.005,5.077244917602402,0.001878542865577093,-0.0006307054277165111,0,-1.1572791509173519e-07
0.006,5.076876426395916,-0.0015435323562798344,0.0005198357911625562,0,-4.261647652349574e-08
0.007,5.076656367585523,-0.0009217801894542397,0.00029258540265315446,0,3.086267034284674e-08
0.008,5.076418535884233,-0.0009962271007482812,0.00033964345198139213,0,1.0436236332281384e-07
0.009000000000000001,5.076173739908961,-0.0010253989833920924,0.00032750317081420375,0,1.7784082780719743e-07
0.010000000000000002,5.075934864108304,-0.001000600613949134,0.0003312661051566891,0,2.513804679856346e-07
0.011000000000000003,5.075695412485046,-0.001003012614022332,0.0003301322946749896,0,3.2494712615947413e-07
0.012000000000000004,5.07545650572457,-0.0010007302981375884,0.00033032098901660846,0,3.985457851437035e-07
0.013000000000000005,5.075217621502251,-0.001000635890524491,0.00033010463600753256,0,4.721735369073429e-07
0.014000000000000005,5.074978858407707,-0.0010001285116871899,0.0003299977611750894,0,5.458306579325318e-07
0.015000000000000006,5.074740175800091,-0.000999791368830119,0.0003298567031457915,0,6.195167516576464e-07
0.016000000000000007,5.074501583683254,-0.0009994123219399084,0.0003297240033008639,0,6.93231680610899e-07
0.017000000000000008,5.094868749383474,0.08518318378278296,-0.10485378508350604,0,0.27766310304286584
0.01800000000000001,4.6418615061786355,-1.8955377380765217,0.01945254665117516,0,0.33336167464278177
0.01900000000000001,4.349662387864409,-1.2234533806108214,-0.10791037746364011,0,0.3158628756740092
0.02000000000000001,4.0914856299,-1.0814031799538006,-0.1221144333715975,0,0.2715961285403336
0.02100000000000001,3.8683614565883,-0.934899265376329,-0.13972807663556983,0,0.20218442339114784
0.022000000000000013,3.6771358126022875,-0.801385967203849,-0.15559925795739912,0,0.10981303523485049
0.023000000000000013,3.573127080974325,-0.4357416358859433,-0.18434349258333438,0,0.006426181672130342
0.024000000000000014,3.5523425494086314,-0.08705726598812885,-0.20496860262506358,0,-0.07178425375637888
0.025000000000000015,3.5263196813843254,-0.10898717449054499,-0.19836915229260527,0,-0.08021175571037228
0.026000000000000016,3.4165380381208084,-0.45986027301886684,-0.1687386521174016,0,-0.09750510233143919
0.027000000000000017,3.282110283330728,-0.5631169259288511,-0.17952287719470325,0,-0.10192409972110388
0.028000000000000018,3.0866207200109583,-0.8189199785763741,-0.17074848060164882,0,-0.11579684477750263
0.02900000000000002,2.891545538210124,-0.8169658677808372,-0.18133305275691353,0,-0.12335638615935063
0.03000000000000002,2.659328073272838,-0.9725085015460204,-0.17733856557773608,0,-0.14265753517401825
0.03100000000000002,2.44211239301793,-0.9099378456737771,-0.18814863124318962,0,-0.1623897765171108
0.03200000000000002,2.233202911308363,-0.8751451449607824,-0.19102547207407344,0,-0.22858837586495037
0.03300000000000002,2.098000668960632,-0.5663319877939641,-0.22173983990809476,0,-0.3066461765147034
0.03400000000000002,2.0074768162460357,-0.37918558413485753,-0.2312920519463961,0,-0.364397646149325
0.035000000000000024,1.8903076533471543,-0.4908365352343256,-0.22236964552086813,0,-0.3839147800342266
0.036000000000000025,1.705020862359855,-0.7762110766121845,-0.20432407543113798,0,-0.4087774481531632
0.037000000000000026,1.5064369375555984,-0.8317806745773695,-0.21230540819883353,0,-0.46190225247520483
0.03800000000000003,1.3687902522336797,-0.575999568019226,-0.23182010944809184,0,-0.5468777848727003
0.03900000000000003,1.3067200040800282,-0.26008005916653376,-0.24979249842779772,0,-0.5925565425066299
0.04000000000000003,1.1470438467629918,-0.668757238300395,-0.2187495658388305,0,-0.6306584726533985
0.04100000000000003,0.9606613591532208,-0.7807635636413555,-0.2182983313051383,0,-0.7057754408031172
0.04200000000000003,0.8443269880394838,-0.48727950149460536,-0.24219276999053793,0,-0.7863183179244214
0.04300000000000003,0.7588025346410826,-0.35810799279899874,-0.2453454401825459,0,-0.8416155141301919
0.04400000000000003,0.5995268299589616,-0.6668606161225465,-0.2269557997729753,0,-0.8904387329512723
0.04500000000000003,0.4434346324548727,-0.6533391213183947,-0.23031574053775009,0,-0.9853993444374759
0.046000000000000034,0.37487732141825353,-0.28670846667925226,-0.25989516897855813,0,-1.0794893947208084
0.047000000000000035,0.3109165163334994,-0.2674499525255856,-0.2564067628800567,0,-1.1148074420047398
0.048000000000000036,0.157192256207135,-0.6453310631793641,-0.2205096156347539,0,-1.1994252337500277
0.04900000000000004,0.08229667685997873,-0.3140083681417159,-0.2555566072674712,0,-1.3122553467970364
0.05000000000000004,0.05744442738973882,-0.10424926396476253,-0.26681119876433357,0,-1.4155456003298093
0.05100000000000004,0.03199705272420538,-0.10703526453235458,-0.26043197675034313,0,-1.4654806769860487
0.05200000000000004,-0.0653277420824017,-0.4088161230636699,-0.23255522678035204,0,-1.5350725162289214
0.05300000000000004,-0.16625526114059974,-0.42188341587713196,-0.24267266749269933,0,-1.6050947049999642
0.05400000000000004,-0.28216272375195317,-0.48430566435210165,-0.23868221392249303,0,-1.6914047354079247
0.05500000000000004,-0.3544792439678663,-0.30192635059103734,-0.24950197741379665,0,-1.7816970096255478
0.05600000000000004,-0.41736464052541505,-0.26209121011078446,-0.24913770816317563,0,-1.8583568139215008
