Time,Body Pitch (rad),Head Pitch (rad),Pitch Rate (rad/s),Velocity (m/s),Left Wheel Speed,Right Wheel Speed,Desired Velocity,Pitch Error,Yaw Rate Error
0.001,-0.9306668150308639,-0.0,0.0,0.8431,6.914068228361863,20.0,0.2,-0.8406668150308639,0.0
0.002,-0.9301295992229632,-0.0005370412756666859,-0.12888990615999288,-0.042546708544733164,20.0,19.738117653158287,0.2,-0.8401295992229633,-2.0084844577173236e-06
0.003,-0.9301380193597353,-0.0005288178420007013,0.001973624079870173,0.0006668469904397767,20.0,20.0,0.2,-0.8401380193597353,-2.204821791111449e-06
0.004,-0.9301358124599506,-0.0005310114799434468,-0.0005264731062000713,-0.0001814983129651412,20.0,20.0,0.2,-0.8401358124599506,-2.236398362406268e-06
0.005,-0.9301335192800608,-0.0005333060342279226,-0.0005506930281901399,-0.00018080711646167955,20.0,20.0,0.2,-0.8401335192800609,-2.2438186902659495e-06
0.006,-0.9301312243632301,-0.000535602659549377,-0.0005511900770397664,-0.00018073297060458224,20.0,20.0,0.2,-0.8401312243632302,-2.251101141635606e-06
0.007,-0.9301289311890952,-0.0005378973904811357,-0.00055073542348733,-0.000180681324004066,20.0,20.0,0.2,-0.8401289311890953,-2.2583734781858975e-06
0.008,-0.9301266398026867,-0.000540190178216245,-0.0005502690562656321,-0.00018062905889125545,20.0,20.0,0.2,-0.8401266398026868,-2.2656407845191428e-06
0.009000000000000001,-0.9301243501158873,-0.0005424811256854894,-0.0005498273924321298,-0.00018057528023687416,20.0,20.0,0.2,-0.8401243501158874,-2.272903019427916e-06
0.010000000000000002,-0.9301220620450402,-0.0005447703306366063,-0.0005494091880551935,-0.00018052001941523937,20.0,20.0,0.2,-0.8401220620450403,-2.2801598898668995e-06
0.011000000000000003,-0.9301197755157203,-0.0005470578802026996,-0.0005490118956230753,-0.00018046333993381857,20.0,20.0,0.2,-0.8401197755157204,-2.2874110631469906e-06
0.012000000000000004,-0.9301174904620246,-0.0005493438517199293,-0.000548633163869079,-0.00018040530053674547,20.0,20.0,0.2,-0.8401174904620247,-2.294656184325959e-06
0.013000000000000005,-0.9301152068257238,-0.0005516283137027764,-0.0005482708755902036,-0.00018034595426969554,20.0,20.0,0.2,-0.8401152068257238,-2.301894886197958e-06
0.014000000000000005,-0.9301129245554908,-0.0005539113267314438,-0.0005479231265599419,-0.00018028534899488212,20.0,20.0,0.2,-0.8401129245554908,-2.3091267991803883e-06
0.015000000000000006,-0.9301106436062032,-0.0005561929442505717,-0.0005475882042429612,-0.00018022352791114814,20.0,20.0,0.2,-0.8401106436062032,-2.316351561328213e-06
0.016000000000000007,-0.9301083639383212,-0.0005584732132877649,-0.000547264568550894,-0.00018016053002407623,20.0,20.0,0.2,-0.8401083639383212,-2.3235688280332237e-06
0.017000000000000008,-0.9316779720791417,0.0009653951462245257,0.36617165419168696,0.12837809894767163,20.0,-20.0,0.2,-0.8416779720791417,-3.2258560686202893
0.01800000000000001,-0.9420039103165785,0.01113850731152928,2.4447161386922884,0.3865783729073034,20.0,-20.0,0.2,-0.8520039103165785,-3.383634609317993
0.01900000000000001,-0.9538283225599009,0.022755747272807967,2.784252854301792,0.4158911274906186,20.0,-18.03953204748978,0.2,-0.8638283225599009,-3.0963286549176647
0.02000000000000001,-0.9656377048804045,0.0342824146752803,2.7621476875290876,0.41403411094163367,20.0,-17.68365417635321,0.2,-0.8756377048804045,-3.097390166607942
0.02100000000000001,-0.9788849879252185,0.04719391010205568,3.0962111356009974,0.45130627469968515,20.0,-13.562081667867986,0.2,-0.8888849879252185,-2.864007631888799
0.022000000000000013,-0.993057245117865,0.061031947917183166,3.3071592720765386,0.46187604383304953,20.0,-10.032937242683559,0.2,-0.903057245117865,-2.639434387616229
0.023000000000000013,-1.007140845862543,0.07472742006492457,3.2740990419586065,0.4548126689278443,20.0,-9.688844439028664,0.2,-0.9171408458625431,-2.6375104026079197
0.024000000000000014,-1.0216748453470434,0.08885695687686261,3.37271006307471,0.46513337038003,20.0,-7.731335287869868,0.2,-0.9316748453470435,-2.5394430459862276
0.025000000000000015,-1.036620235862022,0.10332166079181114,3.462428251480713,0.49275961029919196,20.0,-6.747354631390607,0.2,-0.946620235862022,-2.5455238309739956
0.026000000000000016,-1.051495320048104,0.1176982598888951,3.428468575533681,0.5073776619974549,20.0,-6.532854996859008,0.2,-0.9614953200481041,-2.598169138498121
0.027000000000000017,-1.066354767475562,0.1320318055242211,3.4111141543477093,0.5162721136036923,20.0,-6.172782230699518,0.2,-0.976354767475562,-2.626513543935093
0.028000000000000018,-1.0811647261277895,0.1462691595600655,3.384610920007263,0.5288198434937321,20.0,-6.208434273739456,0.2,-0.9911647261277895,-2.6907930303094028
0.02900000000000002,-1.095935859451697,0.1604481167068394,3.361102065824943,0.5376547149376527,20.0,-5.973701215617162,0.2,-1.005935859451697,-2.7284344008901296
0.03000000000000002,-1.11074654723761,0.17461706718200531,3.353728940203243,0.5517099655691039,20.0,-6.492807862676855,0.2,-1.0207465472376098,-2.825834033684495
0.03100000000000002,-1.1257722488101907,0.1890102975755959,3.396011720289185,0.5628073650379307,20.0,-5.330094310350319,0.2,-1.0357722488101906,-2.7941578845516473
0.03200000000000002,-1.1409055471861067,0.20343412903672026,3.404527314282359,0.5919031444154418,20.0,-5.8950474439324125,0.2,-1.0509055471861066,-2.9232033924038845
0.03300000000000002,-1.1563636330570868,0.21809442727275413,3.477404575267603,0.6605257879866121,20.0,-3.266633827069235,0.2,-1.0663636330570867,-2.903074183434728
